"gene_name","glyma","desc"
".",NA,NA
"LOC100803911","GLYMA_01G103500","auxin response factor 9"
"IF7GT3","GLYMA_16G175200, GmIF7GT3","isoflavone 7-O-glucosyltransferase UGT3"
".",NA,NA
"LOC121174643","","receptor-like serine/threonine-protein kinase At2g45590"
"LOC100527721","GLYMA_11G060500","uncharacterized LOC100527721"
"LOC100779051","GLYMA_05G009000","early nodulin-93"
"LOC100776345","GLYMA_03G178000","40S ribosomal protein S23-like"
".",NA,NA
"LOC100820292","GLYMA_17G117100","early nodulin-93-like"
"LOC106799481","","uncharacterized LOC106799481"
"LOC100306683","GLYMA_17G117200","uncharacterized LOC100306683"
".",NA,NA
"LOC100783654","GLYMA_03G026000","uncharacterized LOC100783654"
"LOC100784666","GLYMA_01G061500","serine/threonine-protein kinase dst1"
".",NA,NA
".",NA,NA
"LOC100500345","GLYMA_11G235000","uncharacterized LOC100500345"
"LOC100807247","GLYMA_07G257700","stem-specific protein TSJT1"
"SACPD-C","GLYMA_14G121400, FAB2.3","stearoyl-ACP desaturase"
"LOC100817130","GLYMA_18G132500","probable inactive purple acid phosphatase 1"
".",NA,NA
".",NA,NA
"SHOOT2","GLYMA_19G190000","SHOOT2 protein"
".",NA,NA
".",NA,NA
".",NA,NA
".",NA,NA
".",NA,NA
"C4H1","","cinnamate 4-hydroxylase CYP73"
"LOC102665617","GLYMA_11G022400","brassinosteroid-responsive RING protein 1"
"LOC100815403","GLYMA_12G200800","uncharacterized LOC100815403"
"LOC100801545","GLYMA_05G133100","E3 ubiquitin-protein ligase UPL1"
"LOC100527371","GLYMA_19G213100","uncharacterized LOC100527371"
"LOC100786490","GLYMA_19G046300","LOB domain-containing protein 41"
".",NA,NA
"LOC100816661","GLYMA_13G149700","putative mediator of RNA polymerase II transcription subunit 26"
".",NA,NA
".",NA,NA
".",NA,NA
".",NA,NA
".",NA,NA
"LOC100781661","GLYMA_02G287000","peroxisomal and mitochondrial division factor 2"
"LOC100811997","GLYMA_20G098400","calreticulin"
"LOC100777575","","cyprosin-like"
".",NA,NA
"LOC100803056","GLYMA_10G089200","actin-related protein 7"
"LOC100794816","GLYMA_05G222400","1-aminocyclopropane-1-carboxylate oxidase 1"
"LOC100801918","GLYMA_06G122600","alcohol dehydrogenase 1"
"LOC100803038","GLYMA_17G238200","probable isoaspartyl peptidase/L-asparaginase 2"
"LOC100775486","GLYMA_05G048500","zinc finger protein SHOOT GRAVITROPISM 5"
"LOC100810689","GLYMA_17G083200","H/ACA ribonucleoprotein complex subunit 2-like protein"
"LOC100779467","GLYMA_16G062000","kelch repeat-containing protein At3g27220"
".",NA,NA
".",NA,NA
"LOC100305771","GLYMA_13G301400","uncharacterized LOC100305771"
"LOC100799771","GLYMA_06G121500","transcriptional corepressor SEUSS"
".",NA,NA
"LOC100500459","GLYMA_05G068500v4","FCS-like zinc-finger domain-containing protein"
".",NA,NA
".",NA,NA
